,Costs
456,51649.0
457,51181.0
458,51001.0
459,51046.0
460,49318.0
461,49867.0
462,49750.0
463,51217.0
464,49183.0
465,51928.0
466,50920.0
467,50146.0
468,49849.0
469,48247.0
470,50353.0
471,51793.0
472,50110.0
473,50632.0
474,50056.0
475,50236.0
476,49471.0
477,50308.0
478,49057.0
479,49525.0
480,51307.0
481,48571.0
482,50299.0
483,50740.0
484,50308.0
485,47806.0
486,50353.0
487,49552.0
488,50839.0
489,50965.0
490,51163.0
491,50281.0
492,49318.0
493,52882.0
494,51631.0
495,48652.0
496,50578.0
497,48220.0
498,50416.0
499,50686.0
500,51541.0
501,48778.0
502,50632.0
503,51226.0
504,50272.0
505,49399.0
506,50389.0
507,50020.0
508,48598.0
509,49786.0
510,49804.0
511,48472.0
512,49651.0
513,49597.0
514,49201.0
515,50272.0
516,50866.0
517,50596.0
518,51604.0
519,50281.0
520,52306.0
521,50749.0
522,50173.0
523,49570.0
524,48058.0
525,49651.0
526,48823.0
527,50200.0
528,51334.0
529,50956.0
530,49678.0
531,50713.0
532,51055.0
533,51127.0
534,49849.0
535,49885.0
536,50011.0
537,53890.0
538,50605.0
539,50713.0
540,48931.0
541,50497.0
542,51496.0
543,50614.0
544,52855.0
545,50371.0
546,49354.0
547,49066.0
548,49102.0
549,49975.0
550,49786.0
551,49534.0
552,49885.0
553,50470.0
554,49804.0
555,49930.0
556,51487.0
557,50560.0
558,50641.0
559,50794.0
560,50830.0
561,50227.0
562,52189.0
563,51622.0
564,49930.0
565,51001.0
566,50560.0
567,48697.0
568,50389.0
569,50965.0
570,47689.0
571,52126.0
572,51379.0
573,49201.0
574,51271.0
575,49669.0
576,50497.0
577,49894.0
578,50326.0
579,50857.0
580,50632.0
581,49228.0
582,49408.0
583,50200.0
584,49660.0
585,49201.0
586,49174.0
587,49831.0
588,49804.0
589,52234.0
590,47761.0
591,50173.0
592,49417.0
593,50047.0
594,51802.0
595,51199.0
596,50128.0
597,51406.0
598,50155.0
599,50425.0
600,49228.0
601,50281.0
602,50596.0
603,48409.0
604,49201.0
605,49804.0
606,50353.0
607,47977.0
608,48463.0
609,51514.0
610,50074.0
611,50020.0
612,49165.0
613,47887.0
614,49156.0
615,51424.0
616,49966.0
617,50704.0
618,50794.0
