,Costs
456,76615.0
457,76822.0
458,75499.0
459,76183.0
460,75400.0
461,78163.0
462,77272.0
463,79198.0
464,77515.0
465,77083.0
466,79126.0
467,78397.0
468,77389.0
469,74923.0
470,74680.0
471,73834.0
472,75553.0
473,76768.0
474,76111.0
475,75508.0
476,78955.0
477,78487.0
478,77938.0
479,76336.0
480,78163.0
481,77119.0
482,78316.0
483,76570.0
484,79423.0
485,77785.0
486,78928.0
487,79666.0
488,74419.0
489,76048.0
490,77542.0
491,77794.0
492,76732.0
493,78406.0
494,73555.0
495,76651.0
496,77713.0
497,79612.0
498,78046.0
499,74491.0
500,75895.0
501,76597.0
502,77992.0
503,75418.0
504,77596.0
505,78703.0
506,77659.0
507,75418.0
508,77461.0
509,74590.0
510,75184.0
511,78730.0
512,75652.0
513,78622.0
514,77542.0
515,78964.0
516,77461.0
517,80233.0
518,80818.0
519,76237.0
520,77362.0
521,78073.0
522,76570.0
523,78064.0
524,78550.0
525,77893.0
526,79432.0
527,78109.0
528,75796.0
529,77758.0
530,74293.0
531,80386.0
532,78181.0
533,73816.0
534,75373.0
535,80341.0
536,77947.0
537,78289.0
538,77137.0
539,77992.0
540,77137.0
541,78451.0
542,74032.0
543,77326.0
544,75058.0
545,77884.0
546,74896.0
547,78982.0
548,77533.0
549,78082.0
550,78370.0
551,79396.0
552,77308.0
553,77911.0
554,76390.0
555,76930.0
556,78073.0
557,79729.0
558,77281.0
559,76849.0
560,77722.0
561,79315.0
562,76381.0
563,76921.0
564,79378.0
565,77551.0
566,76444.0
567,80431.0
568,75625.0
569,78667.0
570,77515.0
571,76651.0
572,79621.0
573,76840.0
574,78298.0
575,77605.0
576,76984.0
577,79414.0
578,78514.0
579,78127.0
580,79351.0
581,78307.0
582,78523.0
583,77983.0
584,78145.0
585,78145.0
586,79684.0
587,78514.0
588,74860.0
589,79594.0
590,79423.0
591,76633.0
592,78883.0
593,79504.0
594,76093.0
595,79936.0
596,75940.0
597,74347.0
598,77092.0
599,78613.0
600,79549.0
601,79567.0
602,77281.0
603,79081.0
604,79810.0
605,78001.0
606,78793.0
607,77605.0
608,74743.0
609,76813.0
610,78631.0
611,76723.0
612,78217.0
613,77416.0
614,78127.0
615,80323.0
616,78100.0
617,75112.0
618,78793.0
619,77434.0
620,77299.0
621,77749.0
622,76714.0
623,78757.0
624,78100.0
625,76129.0
626,77434.0
627,75913.0
628,80368.0
629,81052.0
630,75121.0
631,79009.0
632,79072.0
633,78037.0
634,77200.0
635,77740.0
636,74347.0
637,74248.0
638,77983.0
639,77758.0
640,77668.0
641,78820.0
642,78721.0
643,74284.0
644,77722.0
645,75283.0
646,76813.0
647,77614.0
648,75598.0
649,75904.0
650,79189.0
651,76705.0
652,78082.0
653,78352.0
654,77947.0
655,78937.0
656,78784.0
657,80143.0
658,76831.0
659,76453.0
660,76435.0
661,77245.0
662,79621.0
663,78046.0
664,79792.0
665,79207.0
666,75355.0
667,78928.0
668,75112.0
669,76102.0
670,76165.0
671,78280.0
672,78532.0
673,75706.0
674,78451.0
675,82150.0
676,77587.0
677,76228.0
678,78496.0
679,77866.0
680,77911.0
681,78226.0
682,75094.0
683,76039.0
684,76048.0
685,77110.0
686,75886.0
687,77884.0
688,76039.0
689,76903.0
690,75337.0
691,76588.0
692,75247.0
693,78478.0
694,73699.0
695,78613.0
696,76525.0
697,76534.0
698,79018.0
699,77272.0
700,77191.0
701,76669.0
702,76390.0
703,76750.0
704,78739.0
705,77758.0
706,77407.0
707,78865.0
708,78460.0
709,79081.0
710,76453.0
711,75733.0
712,76282.0
713,78451.0
714,77713.0
715,77434.0
716,75130.0
717,76093.0
718,77290.0
719,80287.0
720,77650.0
721,75067.0
722,79972.0
723,79423.0
724,78046.0
725,77596.0
726,78487.0
727,78451.0
728,78199.0
729,75112.0
730,79468.0
731,76354.0
732,79468.0
733,77407.0
734,78199.0
735,73807.0
736,76687.0
737,80026.0
738,75472.0
739,77668.0
740,77695.0
741,76408.0
742,78505.0
743,79063.0
744,75940.0
745,75994.0
746,76570.0
747,77479.0
748,80017.0
749,75463.0
750,77263.0
751,78073.0
752,75337.0
753,75130.0
754,76867.0
755,78937.0
756,78460.0
757,78118.0
758,77182.0
759,74896.0
760,79054.0
761,79324.0
762,78550.0
763,79135.0
764,79207.0
765,75688.0
766,76606.0
767,76525.0
768,78865.0
769,77056.0
770,76138.0
771,79045.0
772,76165.0
773,75274.0
774,77857.0
775,77029.0
776,75859.0
777,74446.0
778,76822.0
779,80044.0
780,78226.0
781,78523.0
782,77839.0
783,76561.0
784,76030.0
785,76561.0
786,77299.0
787,75985.0
788,77911.0
789,77803.0
790,78424.0
791,78973.0
792,76183.0
793,76039.0
794,79126.0
795,77326.0
796,77434.0
797,77893.0
798,76867.0
799,76381.0
800,75292.0
801,78118.0
802,78082.0
803,78712.0
804,77587.0
805,76021.0
806,79081.0
807,77821.0
808,75463.0
809,77038.0
810,76345.0
811,75661.0
812,77938.0
813,77407.0
814,75949.0
815,76552.0
816,78100.0
817,76174.0
818,80791.0
819,78721.0
820,80161.0
821,77884.0
822,80233.0
823,76858.0
824,79036.0
825,76030.0
826,76498.0
827,75454.0
828,78865.0
829,77416.0
830,77146.0
831,76174.0
832,76408.0
833,76912.0
834,76741.0
835,76786.0
836,78928.0
837,78181.0
838,77137.0
839,77587.0
840,77875.0
841,77767.0
842,78487.0
843,76705.0
844,77812.0
845,77623.0
846,76948.0
847,78019.0
848,79747.0
849,78280.0
850,74923.0
851,76714.0
852,78568.0
853,78748.0
854,75247.0
855,77569.0
856,77218.0
857,76876.0
858,76534.0
859,75814.0
860,78091.0
861,78001.0
862,75886.0
863,76408.0
864,77182.0
865,76489.0
866,75265.0
867,77074.0
868,76507.0
869,77623.0
870,77668.0
871,77281.0
872,77596.0
873,76003.0
874,78415.0
875,78478.0
876,77380.0
877,77452.0
878,77956.0
879,76021.0
880,75634.0
881,77479.0
882,79792.0
883,79126.0
884,76516.0
885,79630.0
886,75652.0
887,78307.0
888,77236.0
889,76264.0
890,76633.0
891,76849.0
892,78613.0
893,77920.0
894,75598.0
895,77272.0
896,79999.0
897,78685.0
898,73681.0
899,76642.0
900,75823.0
901,78208.0
902,77767.0
903,79639.0
904,74932.0
905,77362.0
906,79909.0
907,78559.0
908,76282.0
909,77857.0
910,80278.0
911,80107.0
912,77317.0
913,79351.0
914,79000.0
915,77911.0
916,79108.0
917,78505.0
918,74725.0
919,78118.0
920,78397.0
921,78316.0
922,80629.0
923,79378.0
924,79702.0
925,75508.0
926,78910.0
927,75760.0
928,78667.0
929,79000.0
930,79351.0
931,77776.0
932,75589.0
933,76723.0
934,75949.0
935,80125.0
936,77101.0
937,76129.0
938,78010.0
939,78163.0
940,78127.0
941,79522.0
942,76300.0
943,78154.0
944,77920.0
945,79396.0
946,77947.0
947,80467.0
948,76903.0
949,78514.0
950,77704.0
951,78865.0
952,78100.0
953,77965.0
954,75058.0
955,77686.0
956,81088.0
957,79126.0
958,77254.0
959,77785.0
960,77362.0
961,76678.0
962,75193.0
963,78091.0
964,79027.0
965,78379.0
966,75967.0
967,77434.0
968,76858.0
969,76570.0
970,76237.0
971,75364.0
972,77452.0
973,75112.0
974,76885.0
975,76507.0
976,79972.0
977,76777.0
978,76840.0
979,77596.0
980,78154.0
981,76660.0
982,76156.0
983,78145.0
984,76255.0
985,78181.0
986,79900.0
987,77695.0
988,76615.0
989,76480.0
990,76264.0
991,77092.0
992,76228.0
993,77722.0
994,76750.0
995,76615.0
996,77992.0
997,76669.0
998,76984.0
999,78163.0
1000,77353.0
1001,76264.0
1002,76525.0
1003,76066.0
1004,78793.0
1005,75553.0
1006,75697.0
1007,75733.0
1008,76264.0
1009,75067.0
1010,79387.0
1011,77614.0
1012,78514.0
1013,76120.0
1014,79135.0
1015,80035.0
1016,76300.0
1017,78514.0
1018,78613.0
1019,73456.0
1020,79243.0
1021,78910.0
1022,77290.0
1023,76030.0
1024,76948.0
1025,75913.0
1026,76669.0
1027,75931.0
1028,77389.0
1029,76372.0
1030,77245.0
1031,76660.0
1032,73924.0
1033,74599.0
1034,79765.0
1035,75868.0
1036,77209.0
1037,78334.0
1038,76057.0
1039,76948.0
1040,74968.0
1041,77173.0
1042,77722.0
1043,77839.0
1044,75013.0
1045,76822.0
1046,77506.0
1047,75283.0
1048,77803.0
1049,78307.0
1050,76345.0
1051,74923.0
1052,76120.0
1053,74905.0
1054,74437.0
1055,79882.0
1056,77794.0
1057,77092.0
1058,74707.0
1059,77911.0
1060,76921.0
1061,76570.0
1062,76219.0
1063,79837.0
1064,77065.0
1065,77731.0
1066,78595.0
1067,79306.0
1068,80260.0
1069,80656.0
1070,80251.0
1071,73483.0
1072,75301.0
1073,79603.0
1074,73897.0
1075,78613.0
1076,77794.0
1077,77200.0
1078,75040.0
1079,76543.0
1080,77236.0
1081,76579.0
1082,74293.0
1083,77182.0
1084,78928.0
1085,78145.0
1086,78361.0
1087,76489.0
1088,74968.0
1089,76633.0
1090,80719.0
1091,77425.0
1092,77731.0
1093,75508.0
1094,79324.0
1095,78145.0
1096,78145.0
1097,77758.0
1098,77767.0
1099,79315.0
1100,79999.0
1101,74545.0
1102,77812.0
1103,75256.0
1104,75454.0
1105,79864.0
1106,74266.0
1107,76858.0
1108,77992.0
1109,77722.0
1110,75967.0
1111,76687.0
1112,78901.0
1113,75571.0
1114,76975.0
1115,77659.0
1116,79144.0
1117,73051.0
1118,76651.0
1119,77137.0
1120,77848.0
1121,77110.0
1122,76156.0
1123,75715.0
1124,79036.0
1125,80944.0
1126,75616.0
1127,78352.0
1128,77614.0
1129,74887.0
1130,75886.0
1131,75904.0
1132,75751.0
1133,74932.0
1134,77281.0
1135,78766.0
1136,78082.0
1137,79153.0
1138,78226.0
1139,80368.0
1140,76552.0
1141,78937.0
1142,76075.0
1143,78298.0
1144,75571.0
1145,78505.0
1146,76957.0
1147,79135.0
1148,77911.0
1149,76498.0
1150,75823.0
1151,75841.0
1152,77911.0
1153,79513.0
1154,78748.0
1155,75625.0
1156,78046.0
1157,79774.0
1158,77182.0
1159,76813.0
1160,77731.0
1161,76210.0
1162,77326.0
1163,76759.0
1164,77128.0
1165,77173.0
1166,76930.0
1167,79306.0
1168,75661.0
1169,77821.0
1170,78667.0
1171,81331.0
1172,77992.0
1173,75814.0
1174,79882.0
1175,76030.0
1176,75508.0
1177,76624.0
1178,76939.0
1179,77479.0
1180,75391.0
1181,76948.0
1182,79333.0
1183,80620.0
1184,76876.0
1185,76894.0
1186,78550.0
1187,75553.0
1188,79108.0
1189,78442.0
1190,76570.0
1191,77920.0
1192,78136.0
1193,77929.0
1194,75436.0
1195,77164.0
1196,75715.0
1197,79054.0
1198,78181.0
1199,72403.0
1200,77686.0
1201,80872.0
1202,77560.0
1203,77848.0
1204,77425.0
1205,76462.0
1206,77785.0
1207,78658.0
1208,79387.0
1209,77425.0
1210,79162.0
1211,76489.0
1212,76723.0
1213,75535.0
1214,79513.0
1215,78028.0
1216,80242.0
1217,77227.0
1218,77794.0
1219,76786.0
1220,77974.0
1221,76093.0
1222,79144.0
1223,75193.0
1224,77524.0
1225,79783.0
1226,76435.0
1227,78397.0
1228,76435.0
1229,76903.0
1230,74725.0
1231,77695.0
1232,78487.0
1233,76534.0
1234,78370.0
1235,80143.0
1236,76426.0
1237,76084.0
1238,77920.0
1239,78694.0
1240,75688.0
1241,78118.0
1242,75553.0
1243,77128.0
1244,78001.0
1245,76003.0
1246,75148.0
1247,78073.0
1248,79198.0
1249,74941.0
1250,78406.0
1251,78253.0
1252,75760.0
1253,73582.0
1254,77776.0
1255,75913.0
1256,77263.0
1257,78550.0
1258,75868.0
1259,77803.0
1260,79063.0
1261,77452.0
1262,77281.0
1263,77434.0
1264,77578.0
