,Costs
456,50101.0
457,49624.0
458,50641.0
459,50173.0
460,51559.0
461,49444.0
462,48670.0
463,49453.0
464,49957.0
465,49993.0
466,51469.0
467,49732.0
468,50785.0
469,48751.0
470,50272.0
471,50677.0
472,50794.0
473,50641.0
474,49516.0
475,50146.0
476,49633.0
477,51001.0
478,49138.0
479,48940.0
480,51685.0
481,49885.0
482,49579.0
483,49570.0
484,50884.0
485,51469.0
486,48823.0
487,50524.0
488,51217.0
489,50722.0
490,49768.0
491,50605.0
492,48769.0
493,48787.0
494,49111.0
495,53107.0
496,48895.0
497,48292.0
498,48922.0
499,49075.0
500,50461.0
501,50524.0
502,50362.0
503,50065.0
504,48724.0
505,51334.0
506,48805.0
507,49804.0
508,49201.0
509,49237.0
510,50110.0
511,49480.0
512,49939.0
513,51082.0
514,49804.0
515,49390.0
516,49498.0
517,48778.0
518,51046.0
519,49921.0
520,47347.0
521,49048.0
522,50002.0
523,49003.0
524,50218.0
525,48031.0
526,49570.0
527,47977.0
528,48418.0
529,50002.0
530,47950.0
531,48490.0
532,50218.0
533,51037.0
534,49318.0
535,51739.0
536,50173.0
537,52747.0
538,48058.0
539,47320.0
540,50155.0
541,51415.0
542,49615.0
543,48715.0
544,51955.0
545,50686.0
546,50002.0
547,50272.0
548,49507.0
549,51109.0
550,50083.0
551,50668.0
552,49939.0
553,49624.0
554,49417.0
555,51667.0
556,49669.0
557,48814.0
558,49786.0
559,48688.0
560,50497.0
561,48571.0
562,49138.0
563,49579.0
564,51073.0
565,49246.0
566,48985.0
567,49489.0
568,49471.0
569,50299.0
570,49678.0
571,50299.0
572,50758.0
573,50137.0
574,48670.0
575,51721.0
576,52486.0
577,50434.0
578,50137.0
579,49795.0
580,49273.0
581,49102.0
582,50137.0
583,49327.0
584,50065.0
585,51244.0
586,51919.0
587,49534.0
588,49795.0
589,52009.0
590,48121.0
591,51109.0
592,50641.0
593,49570.0
594,49741.0
595,50695.0
596,49975.0
597,49093.0
598,48967.0
599,49822.0
600,50659.0
601,49273.0
602,50218.0
603,50353.0
604,50029.0
605,49498.0
606,50200.0
607,49669.0
608,50308.0
609,49687.0
610,49048.0
611,51793.0
612,48553.0
613,49849.0
614,48013.0
615,49147.0
616,49849.0
617,50947.0
618,50227.0
619,48202.0
620,49354.0
621,49777.0
622,49579.0
623,50452.0
624,49597.0
625,47788.0
626,48976.0
627,49210.0
628,49822.0
629,48292.0
630,48346.0
631,50101.0
632,50011.0
633,49048.0
634,51208.0
635,50263.0
636,47977.0
637,49867.0
638,48049.0
639,51280.0
640,49003.0
641,49462.0
642,51271.0
643,48400.0
644,50002.0
645,51136.0
646,49075.0
647,50551.0
648,50578.0
649,50164.0
650,49831.0
651,48976.0
652,48949.0
653,48652.0
654,50290.0
655,50362.0
656,50983.0
657,50560.0
658,50659.0
659,48805.0
660,50902.0
661,50497.0
662,48724.0
663,49723.0
664,50101.0
665,53278.0
666,52162.0
667,51505.0
668,49849.0
669,51028.0
670,50353.0
671,52423.0
672,49444.0
673,50911.0
674,48598.0
675,50866.0
676,48994.0
677,49975.0
678,48076.0
679,50443.0
680,49588.0
681,50047.0
682,51064.0
683,49246.0
684,48337.0
685,49660.0
686,51658.0
687,47518.0
688,48985.0
689,48823.0
690,48841.0
691,50848.0
692,47788.0
693,52153.0
694,49777.0
695,50632.0
696,49687.0
697,50767.0
698,49210.0
699,50893.0
700,49840.0
701,48895.0
702,51379.0
703,49993.0
704,49372.0
705,47752.0
706,50272.0
707,49606.0
708,49039.0
709,49975.0
710,49480.0
711,49012.0
712,49660.0
713,50380.0
714,49543.0
715,49462.0
716,50974.0
717,48526.0
718,49066.0
719,49246.0
720,48634.0
721,49615.0
722,49138.0
723,48625.0
724,49039.0
725,50281.0
726,49291.0
727,49264.0
728,48463.0
729,49219.0
730,50659.0
731,48112.0
732,51478.0
733,48787.0
734,49903.0
735,49453.0
736,50578.0
737,48391.0
738,50641.0
739,50326.0
740,50713.0
741,49786.0
742,49120.0
743,48913.0
744,48562.0
745,50371.0
746,49129.0
747,50074.0
748,48949.0
749,47806.0
750,47797.0
751,48418.0
752,48598.0
753,50389.0
754,49678.0
755,50956.0
756,50164.0
757,50227.0
758,49588.0
759,50974.0
760,50074.0
761,50785.0
762,51613.0
763,48427.0
764,50560.0
765,49039.0
766,50479.0
767,50317.0
768,49966.0
769,49894.0
770,50848.0
771,49444.0
772,50254.0
773,48526.0
774,48031.0
775,48805.0
776,47464.0
777,49399.0
778,49822.0
779,49336.0
780,48904.0
781,50506.0
782,49480.0
783,48580.0
784,51091.0
785,48697.0
786,49984.0
787,49813.0
788,50722.0
789,47554.0
790,50362.0
791,50164.0
792,50821.0
793,48976.0
794,48103.0
795,51775.0
796,48913.0
797,49372.0
798,50569.0
799,49399.0
800,48229.0
801,49120.0
802,49561.0
803,50965.0
804,47725.0
805,49975.0
806,49921.0
807,49174.0
808,49930.0
809,46627.0
810,50884.0
811,50164.0
812,49912.0
813,49129.0
814,52360.0
815,48805.0
816,50110.0
817,50956.0
818,49462.0
819,49066.0
820,48553.0
821,50605.0
822,49489.0
823,50767.0
824,48688.0
825,50938.0
826,49039.0
827,48706.0
828,47419.0
829,51757.0
830,49588.0
831,48850.0
832,48652.0
833,48814.0
834,51091.0
835,49507.0
836,49597.0
837,48310.0
838,50146.0
839,49255.0
840,49543.0
841,49624.0
842,48877.0
843,49120.0
844,49300.0
845,48517.0
846,49318.0
847,49183.0
848,48031.0
849,50101.0
850,48724.0
851,49993.0
852,49543.0
853,51415.0
854,51730.0
855,49282.0
856,50038.0
857,50218.0
858,48958.0
859,49300.0
860,49966.0
861,49885.0
862,49390.0
863,48913.0
864,50002.0
865,49552.0
866,48688.0
867,50065.0
868,51037.0
869,48391.0
870,49669.0
871,47563.0
872,50263.0
873,50695.0
874,50947.0
875,49327.0
876,49345.0
877,51370.0
878,49417.0
879,48706.0
880,50677.0
881,49183.0
882,50947.0
883,49552.0
884,48832.0
885,50407.0
886,48517.0
887,50173.0
888,48940.0
889,48832.0
890,49903.0
891,50191.0
892,51784.0
893,48175.0
894,50857.0
895,51469.0
896,50209.0
897,48373.0
898,50344.0
899,49228.0
900,48886.0
901,49858.0
902,49453.0
903,50362.0
904,50137.0
905,49003.0
906,50668.0
907,47545.0
908,52432.0
909,46726.0
910,50803.0
911,50686.0
912,49048.0
913,50506.0
914,49975.0
915,49876.0
916,48661.0
917,51793.0
918,49579.0
919,50587.0
920,48886.0
921,50056.0
922,51091.0
923,49768.0
924,50515.0
925,52180.0
926,49525.0
927,49867.0
928,48400.0
929,51811.0
930,50740.0
931,48931.0
932,50569.0
933,50551.0
934,49219.0
935,49597.0
936,49840.0
937,48850.0
938,49219.0
939,49093.0
940,49921.0
941,51874.0
942,50983.0
943,50029.0
944,50614.0
945,48103.0
946,52774.0
947,49732.0
948,49516.0
949,50812.0
950,49084.0
951,49930.0
952,49264.0
953,48994.0
954,48985.0
955,49840.0
956,51001.0
957,48958.0
958,50524.0
959,50929.0
960,51910.0
961,50866.0
962,49372.0
963,51478.0
964,49471.0
965,49975.0
966,50146.0
967,51730.0
968,49201.0
969,50965.0
970,50569.0
971,49822.0
972,48841.0
973,50830.0
974,49651.0
975,47806.0
976,50731.0
977,50416.0
978,49660.0
979,48841.0
980,49993.0
